Characters,Pinyin,English,HSK Level
鸡蛋,jī dàn,egg; hen's egg,2
件,jiàn,classifier for clothes/events; item,2
教室,jiào shì,classroom,2
姐姐,jiě jie,older sister,2
介绍,jiè shào,to introduce; to recommend,2
近,jìn,near; close to; approximately,2
进,jìn,to enter; to advance,2
就,jiù,just; at once; only; then,2
觉得,jué de,to think; to feel,2
咖啡,kā fēi,coffee,2
开始,kāi shǐ,to begin; beginning; to start,2
考试,kǎo shì,exam; test,2
可能,kě néng,possible; maybe; perhaps,2
可以,kě yǐ,can; may; able to,2
课,kè,class; lesson; subject,2
快,kuài,rapid; quick; soon; clever,2
快乐,kuài lè,happy; merry,2
累,lèi,tired; weary,2
离,lí,to leave; away from,2
两,liǎng,two (quantities); both,2
零,líng,zero; nought,2
路,lù,road; path; way,2
旅游,lǚ yóu,trip; tourism; travel,2
卖,mài,to sell,2
慢,màn,slow,2
忙,máng,busy; hurriedly,2
每,měi,each; every,2
妹妹,mèi mei,younger sister,2
门,mén,gate; door; gateway,2
面条,miàn tiáo,noodles,2
男,nán,male,2
您,nín,you (polite),2
牛奶,niú nǎi,cow's milk,2
女,nǚ,female; woman; daughter,2
旁边,páng biān,side; beside; next to,2
跑步,pǎo bù,to run; to jog,2
便宜,pián yi,cheap; inexpensive,2
票,piào,ticket; ballot,2
妻子,qī zi,wife,2
起床,qǐ chuáng,to get up,2
千,qiān,thousand,2
铅笔,qiān bǐ,pencil,2
晴,qíng,clear; fine (weather),2
去年,qù nián,last year,2
让,ràng,to permit; to let; to yield,2
日,rì,day; date; sun; Japan,2
上班,shàng bān,to go to work,2
身体,shēn tǐ,body; health,2
生病,shēng bìng,to fall ill,2
生日,shēng rì,birthday,2
时间,shí jiān,time; period,2
事情,shì qing,affair; matter; thing,2
手表,shǒu biǎo,wrist watch,2
手机,shǒu jī,mobile phone; cell phone,2
说话,shuō huà,to speak; to talk,2
送,sòng,to deliver; to give (as a present),2
虽然…但是…,suī rán…dàn shì…,although…still…,2
它,tā,it (inanimate),2
踢足球,tī zú qiú,to play soccer/football,2
题,tí,topic; problem; question,2
跳舞,tiào wǔ,to dance,2
外,wài,outside; foreign; external,2
完,wán,to finish; whole; complete,2
玩,wán,to play; to have fun,2
晚上,wǎn shang,in the evening,2
往,wǎng,towards; to go in a direction,2
为什么,wèi shén me,why?; for what reason?,2
问,wèn,to ask,2
问题,wèn tí,question; problem; issue,2
希望,xī wàng,to hope; to wish; hope,2
西瓜,xī guā,watermelon,2
洗,xǐ,to wash; to bathe,2
小时,xiǎo shí,hour,2
笑,xiào,to laugh; to smile,2
新,xīn,new; newly,2
姓,xìng,family name; surname,2
休息,xiū xi,rest; to rest,2
雪,xuě,snow; snowfall,2
颜色,yán sè,color,2
眼睛,yǎn jing,eye,2
羊肉,yáng ròu,mutton; lamb,2
药,yào,medicine; drug,2
要,yào,to want; will; must,2
也,yě,also; too; as well,2
一下,yī xià,give it a go; once; a while,2
已经,yǐ jīng,already,2
一起,yī qǐ,together; altogether,2
意思,yì si,meaning; idea; opinion,2
因为…所以…,yīn wèi…suǒ yǐ…,because… therefore…,2
阴,yīn,overcast; cloudy; Yin,2
游泳,yóu yǒng,to swim,2
右边,yòu bian,right side; to the right,2
鱼,yú,fish,2
远,yuǎn,far; distant; remote,2
运动,yùn dòng,sports; movement; campaign,2
再,zài,again; once more,2
早上,zǎo shang,early morning,2
丈夫,zhàng fu,husband,2
找,zhǎo,to look for; to find,2
着,zhe,particle for ongoing action (-ing),2
真,zhēn,really; truly; genuine,2
正在,zhèng zài,in the process of; while,2
知道,zhī dào,to know; to be aware of,2
准备,zhǔn bèi,to prepare; preparation,2
走,zǒu,to walk; to go; to leave,2
最,zuì,most; the most,2
左边,zuǒ bian,left side; to the left,2
啊,a,modal particle (affirmation/approval),3
阿姨,ā yí,maternal aunt; auntie,3
矮,ǎi,short (in height); low,3
爱好,ài hào,interest; hobby,3
安静,ān jìng,quiet; peaceful; calm,3
把,bǎ,to hold; particle marking direct object,3
搬,bān,to move; to transport,3
班,bān,class; team; squad,3
办法,bàn fǎ,means; method; way,3
办公室,bàn gōng shì,office,3
半,bàn,half; semi-; incomplete,3
帮忙,bāng máng,to help; to lend a hand,3
包,bāo,bag; to wrap; to include,3
饱,bǎo,full (after eating); satisfied,3
北方,běi fāng,north; northern China,3
被,bèi,by (passive marker); quilt,3
鼻子,bí zi,nose,3
比较,bǐ jiào,to compare; relatively; quite,3
比赛,bǐ sài,competition; match,3
笔记本,bǐ jì běn,notebook,3
必须,bì xū,must; have to; compulsory,3
变化,biàn huà,change; variation; to change,3
别人,bié rén,others; other people,3
冰箱,bīng xiāng,refrigerator; freezer,3
不但…而且…,bù dàn…ér qiě…,not only… but also…,3
菜单,cài dān,menu,3
参加,cān jiā,to participate; to join,3
草,cǎo,grass; straw; draft,3
层,céng,layer; floor (of a building),3
差,chà,differ from; poor; to lack,3
超市,chāo shì,supermarket,3
衬衫,chèn shān,shirt; blouse,3
城市,chéng shì,city; town,3
成绩,chéng jì,achievement; grades; performance,3
迟到,chí dào,to arrive late,3
除了,chú le,besides; except; apart from,3
船,chuán,boat; vessel; ship,3
春,chūn,spring (season),3
词典,cí diǎn,dictionary,3
聪明,cōng ming,clever; intelligent; smart,3
打扫,dǎ sǎo,to clean; to sweep,3
打算,dǎ suàn,to plan; to intend; plan,3
带,dài,belt; to wear; to carry; to bring,3
担心,dān xīn,to worry; anxious; uneasy,3
蛋糕,dàn gāo,cake,3
当然,dāng rán,of course; certainly,3
地,de,structural particle before verb/adjective (-ly),3
灯,dēng,lamp; light; lantern,3
地方,dì fang,place; region,3
地铁,dì tiě,subway; metro,3
地图,dì tú,map,3
电梯,diàn tī,elevator; lift,3
电子邮件,diàn zǐ yóu jiàn,email; electronic mail,3
东,dōng,east,3
冬,dōng,winter,3
动物,dòng wù,animal,3
短,duǎn,short; brief,3
段,duàn,paragraph; section; stage,3
锻炼,duàn liàn,to exercise; to work out,3
多么,duō me,how (wonderful); what (a great),3
饿,è,hungry; to be hungry,3
耳朵,ěr duo,ear,3
发,fā,to send out; to issue,3
发烧,fā shāo,to have a fever,3
发现,fā xiàn,to find; to discover,3
方便,fāng biàn,convenient; suitable,3
放,fàng,to release; to put; to place,3
放心,fàng xīn,to relax; to be at ease,3
分,fēn,to divide; minute; point; fraction,3
复习,fù xí,to review; to revise,3
附近,fù jìn,nearby; in the vicinity,3
干净,gān jìng,clean; neat and tidy,3
感冒,gǎn mào,cold (illness); to catch a cold,3
感兴趣,gǎn xìng qù,to be interested in,3
刚才,gāng cái,just now; a moment ago,3
个子,gè zi,height; stature; build,3
根据,gēn jù,according to; based on,3
跟,gēn,with; and; to follow,3
更,gèng,more; even more; still more,3
公斤,gōng jīn,kilogram (kg),3
公园,gōng yuán,public park,3
故事,gù shi,story; tale,3
刮风,guā fēng,to be windy,3
关,guān,to close; to shut; to concern,3
关系,guān xì,relationship; to concern; to affect,3
关心,guān xīn,to care for; caring; concerned,3
关于,guān yú,about; concerning; regarding,3
国家,guó jiā,country; nation; state,3
过,guò,to cross; to pass; to get along,3
过去,guò qu,past; former; to go over,3
还是,hái shì,or; still; nevertheless,3
害怕,hài pà,to be afraid; to be scared,3
黑板,hēi bǎn,blackboard,3
后来,hòu lái,afterwards; later,3
护照,hù zhào,passport,3
花,huā,to spend (money/time); flower; blossom,3
画,huà,to draw; picture; painting,3
坏,huài,bad; broken; spoiled,3
欢迎,huān yíng,to welcome; welcome,3
环境,huán jìng,environment; surroundings,3
还,huán,to return; to give back,3
换,huàn,to change; to exchange,3
黄河,huáng hé,Yellow River,3
回答,huí dá,to reply; to answer,3
会议,huì yì,meeting; conference,3
或者,huò zhě,or; possibly; maybe,3
几乎,jī hū,almost; nearly; practically,3
机会,jī huì,opportunity; chance,3
极,jí,extremely; pole; utmost,3
季节,jì jié,season; period,3
记得,jì de,to remember,3
检查,jiǎn chá,to examine; to inspect,3
简单,jiǎn dān,simple; not complicated,3
健康,jiàn kāng,health; healthy,3
见面,jiàn miàn,to meet; to see someone,3
讲,jiǎng,to explain; to speak; to lecture,3
教,jiào,to teach,3
脚,jiǎo,foot; leg; base,3
角,jiǎo,horn; angle; corner; 0.10 yuan,3
接,jiē,to receive; to meet; to connect,3
街道,jiē dào,street,3
结婚,jié hūn,to marry; to get married,3
结束,jié shù,to finish; to end; termination,3
节目,jié mù,program; item on a program,3
节日,jié rì,holiday; festival,3
解决,jiě jué,to solve; to resolve; to settle,3
借,jiè,to lend; to borrow,3
经常,jīng cháng,often; frequently; regularly,3
经过,jīng guò,to pass; to go through,3
经理,jīng lǐ,manager; director,3
久,jiǔ,long (time); duration,3
旧,jiù,old; worn; former,3
句子,jù zi,sentence,3
决定,jué dìng,to decide; decision,3
可爱,kě ài,cute; lovely; amiable,3
渴,kě,thirsty,3
刻,kè,quarter hour; to carve,3
客人,kè rén,guest; visitor; customer,3
空调,kōng tiáo,air conditioning,3
口,kǒu,mouth; classifier for people/wells,3
哭,kū,to cry; to weep,3
裤子,kù zi,trousers; pants,3
筷子,kuài zi,chopsticks,3
蓝,lán,blue,3
老,lǎo,old; experienced; always,3
离开,lí kāi,to depart; to leave,3
礼物,lǐ wù,gift; present,3
历史,lì shǐ,history,3
脸,liǎn,face,3
练习,liàn xí,exercise; practice; drill,3
辆,liàng,classifier for vehicles,3
聊天,liáo tiān,to chat; to gossip,3
了解,liǎo jiě,to understand; to realize,3
邻居,lín jū,neighbor,3
留学,liú xué,to study abroad,3
楼,lóu,building; floor; storey,3
绿,lǜ,green,3
马,mǎ,horse,3
马上,mǎ shàng,right away; immediately,3
满意,mǎn yì,satisfied; pleased,3
帽子,mào zi,hat; cap,3
米,mǐ,rice; meter,3
面包,miàn bāo,bread,3
明白,míng bai,to understand; clear; obvious,3
拿,ná,to hold; to take; to seize,3
奶奶,nǎi nai,paternal grandmother,3
南,nán,south,3
